id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Start earning money today
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Quick registration and easy start with minimal investment
3,indexHeaderText.slide2.title,Заголовок №2,Choose your own development strategy
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,We provide a wide range of instruments for analyzing the market and making accurate forecasts.
5,indexHeaderText.slide3.title,Заголовок №3,Make secure transactions
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,We guarantee a high level of security combined with the maximum speed of order execution
7,indexHeaderText.slide4.title,Заголовок №4,Increase your income
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Reach new financial independence based on the experience of professionals
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Why {BrokerName}?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Easy registration process
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"The procedure takes a couple of minutes, after which you can immediately start working"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Many years of experience
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,We tell you about the specifics of the financial market and support you on all issues 24/7
14,indexAdvantagesText.advantage3.title,Преимущество №3,High standards
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"The company's activities are regulated by international financial aggregators such as ASIC, SCB, DFSA and FCA"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Instant execution of operations
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,The {Broker name} system guarantees instant execution of transactions
18,indexAdvantagesText.advantage5.title,Преимущество №5,Individual working conditions
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,The {Broker name} platform allows you to choose the most suitable functionality and working conditions for you
20,indexAdvantagesText.advantage6.title,Преимущество №6,Convenient analysis system
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Create a plan for further actions using graphical and technical analysis instruments
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Additional benefits
23,indexBenefitsText.benefit1.title,Преимущество №1,Commission-0%
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,No comission for withdrawing funds and adding of funds to the deposit allows you not to lose the earned funds
25,indexBenefitsText.benefit2.title,Преимущество №2,Risk management
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"Risk management ensures maximum security of transactions, because the {Broker name} functionality makes it possible to control risks for each trading instrument"
27,indexBenefitsText.benefit3.title,Преимущество №3,Investment diversification
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Manage your risks and build an investment rebalancing strategy using advanced trading instruments
29,indexBenefitsText.benefit4.title,Преимущество №4,Wide range of features
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,The best trading instruments provide the maximum benefit from operations in the financial markets
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Start trading in a few clicks
32,indexStepsText.step1.title,Шаг №1,Register on the platform
33,indexStepsText.step1.text|dot,Описание Шага №1,Fill in your personal information in your profile
34,indexStepsText.step2.title,Шаг №2,Open an account
35,indexStepsText.step2.text|dot,Описание Шага №2,Choose a convenient payment option and top up your balance
36,indexStepsText.step3.title,Шаг №3,Perform your first trading operations
37,indexStepsText.step3.text|dot,Описание Шага №3,Check out the trading terminal and start trading.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Tariffs
39,indexAccountsText.account1.title,Аккаунт №1,Investor
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,Access to the most popular instruments for novice traders and the ability to start with minimal investment
41,indexAccountsText.account2.title,Аккаунт №2,Professional
