id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,立即开始赚钱
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,快速注册和轻松启动，以最少的投资开始
3,indexHeaderText.slide2.title,Заголовок №2,选择自己的发展战略
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,我们提供各种仪器，用于分析市场并做出准确的预测。
5,indexHeaderText.slide3.title,Заголовок №3,制作安全交易
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,我们保证高水平的安全性与最高订单执行速度相结合
7,indexHeaderText.slide4.title,Заголовок №4,增加你的收入
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,根据专业人士的经验达成新的金融独立性
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,为什么{brokername}？
10,indexAdvantagesText.advantage1.title,Преимущество №1,轻松注册过程
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,该程序需要几分钟，之后您可以立即开始工作
12,indexAdvantagesText.advantage2.title,Преимущество №2,多年的经验
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,我们告诉您金融市场的具体细节，并在全部24/7的所有问题上支持您
14,indexAdvantagesText.advantage3.title,Преимущество №3,高标准
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,该公司的活动受到国际金融聚合人员的监管，如ASIC，SCB，DFSA和FCA
16,indexAdvantagesText.advantage4.title,Преимущество №4,即时执行操作
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,{代理名称}系统可确保即时执行交易
18,indexAdvantagesText.advantage5.title,Преимущество №5,个人工作条件
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,{代理名称}平台允许您为您选择最适合的功能和工作条件
20,indexAdvantagesText.advantage6.title,Преимущество №6,方便的分析系统
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,使用图形和技术分析仪器创建进一步行动的计划
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,额外的好处
23,indexBenefitsText.benefit1.title,Преимущество №1,委托-0％
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,没有撤销资金和向押金增加资金的愿意允许您不要失去赚取的资金
25,indexBenefitsText.benefit2.title,Преимущество №2,风险管理
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,风险管理可确保交易的最大安全性，因为{代理名称}功能使得可以控制每个交易仪器的风险
27,indexBenefitsText.benefit3.title,Преимущество №3,投资多样化
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,管理您的风险并使用先进的贸易仪器建立投资重新平衡策略
29,indexBenefitsText.benefit4.title,Преимущество №4,广泛的特点
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,最佳贸易仪器提供金融市场中运营的最大利益
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,点击几下开始交易
32,indexStepsText.step1.title,Шаг №1,注册平台
33,indexStepsText.step1.text|dot,Описание Шага №1,在您的个人资料中填写您的个​​人信息
34,indexStepsText.step2.title,Шаг №2,开帐户
35,indexStepsText.step2.text|dot,Описание Шага №2,选择便捷的付款选项并充分放大您的余额
36,indexStepsText.step3.title,Шаг №3,执行您的第一个交易操作
37,indexStepsText.step3.text|dot,Описание Шага №3,查看交易终端并开始交易。
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,关税
39,indexAccountsText.account1.title,Аккаунт №1,Investor
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,访问新手交易员最受欢迎的乐器以及以最少的投资开始的能力
41,indexAccountsText.account2.title,Аккаунт №2,Professional
