id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Начните зарабатывать уже сегодня
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Быстрая регистрация и легкий старт с минимальными вложениями
3,indexHeaderText.slide2.title,Заголовок №2,Выбирайте свою стратегию развития
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Предоставляем широкий спектр инструментов для анализа рынка и составления точных прогнозов.
5,indexHeaderText.slide3.title,Заголовок №3,Совершайте безопасные сделки
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Гарантируем высокий уровень безопасности в сочетании с максимальной скоростью исполнения ордеров
7,indexHeaderText.slide4.title,Заголовок №4,Приумножайте ваш доход
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Достигайте новых финансовых вершин, опираясь на опыт профессионалов"
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Почему {BrokerName}?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Легкий процесс регистрации
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Процедура занимает пару минут, после чего вы сразу можете приступить к работе"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Многолетний опыт
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Рассказываем об особенностях финансового рынка и поддерживаем по всем вопросам 24/7
14,indexAdvantagesText.advantage3.title,Преимущество №3,Высокие стандарты
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Деятельность компании регулируют международные финансовые агрегаторы, такие как ASIC, SCB, DFSA и FCA"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Мгновенное совершение операций
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Система {BrokerName} гарантирует моментальное проведение сделок
18,indexAdvantagesText.advantage5.title,Преимущество №5,Индивидуальные условия работы 
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Платформа {BrokerName} позволяет выбрать наиболее подходящий для вас фунционал и условия работы 
20,indexAdvantagesText.advantage6.title,Преимущество №6,Удобная система анализа 
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,"Формируйте план дальнейших действий, используя инструменты графического и технического анализа"
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Дополнительные преимущества
23,indexBenefitsText.benefit1.title,Преимущество №1,Комиссия – 0%
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Отсутствие комиссии на вывод средств и пополнение депозита позволяет не терять заработанные средства
25,indexBenefitsText.benefit2.title,Преимущество №2,Управление рисками
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"Риск-менеджмент обеспечивает максимальную безопасность сделок, ведь функционал {BrokerName} дает возможность контролировать риски по каждому инструменту торговли "
27,indexBenefitsText.benefit3.title,Преимущество №3,Диверсификация инвестиций
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,"Управляйте рисками и выстраивайте стратегию ребалансировки инвестиций, используя продвинутые торговые инструменты"
29,indexBenefitsText.benefit4.title,Преимущество №4,Широкий спектр возможностей
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Лучшие трейдинговые инструменты предоставляют максимальную выгоду от операций на финансовых рынках
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Начните торговать в несколько кликов
32,indexStepsText.step1.title,Шаг №1,Пройдите регистрацию на платформе
33,indexStepsText.step1.text|dot,Описание Шага №1,Заполните персональные данные в вашем профиле
34,indexStepsText.step2.title,Шаг №2,Откройте счет
35,indexStepsText.step2.text|dot,Описание Шага №2,Выберите удобный вариант оплаты и пополните баланс
36,indexStepsText.step3.title,Шаг №3,Совершите первые торговые операции
