id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Beginnen Sie noch heute Geld
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Schnelle Registrierung und einfacher Start mit minimalen Investitionen
3,indexHeaderText.slide2.title,Заголовок №2,Wählen Sie Ihre eigene Entwicklungsstrategie
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Wir bieten ein breites Spektrum an Instrumenten zur Analyse des Marktes und zur Erstellung genauer Prognosen.
5,indexHeaderText.slide3.title,Заголовок №3,Sichere Transaktionen vornehmen
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Wir garantieren ein hohes Maß an Sicherheit in Kombination mit der maximalen Geschwindigkeit der Auftragsausführung
7,indexHeaderText.slide4.title,Заголовок №4,Erhöhen Sie Ihr Einkommen
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,"Erreichen Sie eine neue finanzielle Unabhängigkeit, die auf der Erfahrung von Fachleuten basiert"
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Warum {brokername}?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Einfacher Registrierungsvorgang
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"Die Prozedur dauert ein paar Minuten, wonach Sie sofort mit der Arbeit beginnen können"
12,indexAdvantagesText.advantage2.title,Преимущество №2,Viele Jahre Erfahrung
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Wir erzählen Ihnen über die Besonderheiten des Finanzmarktes und unterstützen Sie auf allen Fragen rund um die Uhr
14,indexAdvantagesText.advantage3.title,Преимущество №3,Hohe Ansprüche
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Die Aktivitäten des Unternehmens werden von internationalen Finanzaggregatoren wie ASIC, SCB, DFSA und FCA reguliert"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Sofortige Ausführung von Operationen
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Der {Broker-Name} -System garantiert eine sofortige Ausführung von Transaktionen
18,indexAdvantagesText.advantage5.title,Преимущество №5,Individuelle Arbeitsbedingungen
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Mit der Plattform {Broker Name} können Sie die am besten geeigneten Funktionalität und Arbeitsbedingungen für Sie auswählen
20,indexAdvantagesText.advantage6.title,Преимущество №6,Bequemes Analysesystem
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Erstellen Sie einen Plan für weitere Aktionen mit grafischen und technischen Analysegeräten
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Zusätzliche Vorteile
23,indexBenefitsText.benefit1.title,Преимущество №1,Kommission-0%
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,"Keine Bekomme zum Abheben von Fonds und Hinzufügen von Mitteln an die Einzahlung ermöglicht es Ihnen, die verdienten Fonds nicht zu verlieren"
25,indexBenefitsText.benefit2.title,Преимущество №2,Risikomanagement
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"Risikomanagement sorgt für maximale Sicherheit von Transaktionen, da der {Broker-Name} -Funktionalität die Steuerung der Risiken für jedes Handelsgerät ermöglicht"
27,indexBenefitsText.benefit3.title,Преимущество №3,Investitionsdiversifizierung.
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Verwalten Sie Ihre Risiken und erstellen Sie eine Investment-Rebalancing-Strategie mit fortgeschrittenen Handelsinstrumenten
29,indexBenefitsText.benefit4.title,Преимущество №4,Große Auswahl an Funktionen
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Die besten Handelsinstrumente bieten den maximalen Nutzen von Operationen in den Finanzmärkten
