id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Commencer à gagner de l'argent aujourd'hui
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Enregistrement rapide et démarrage facile avec un investissement minimal
3,indexHeaderText.slide2.title,Заголовок №2,Choisissez votre propre stratégie de développement
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Nous fournissons une large gamme d'instruments pour analyser le marché et faire des prévisions précises.
5,indexHeaderText.slide3.title,Заголовок №3,Faire des transactions sécurisées
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Nous garantissons un niveau de sécurité élevé combiné à la vitesse maximale de l'exécution de la commande
7,indexHeaderText.slide4.title,Заголовок №4,Augmenter votre revenu
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Atteindre une nouvelle indépendance financière basée sur l'expérience des professionnels
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Pourquoi {brokername}?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Processus d'inscription facile
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,La procédure prend quelques minutes après quoi vous pouvez commencer immédiatement à travailler
12,indexAdvantagesText.advantage2.title,Преимущество №2,De nombreuses années d'expérience
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Nous vous parlons des détails du marché financier et de vous soutenir sur tous les problèmes 24/7
14,indexAdvantagesText.advantage3.title,Преимущество №3,Haute qualité
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Les activités de la société sont réglementées par des agrégateurs financiers internationaux tels que ASIC, SCB, DFSA et FCA."
16,indexAdvantagesText.advantage4.title,Преимущество №4,Exécution instantanée des opérations
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Le système {Nom du courtier} garantit une exécution instantanée des transactions
18,indexAdvantagesText.advantage5.title,Преимущество №5,Conditions de travail individuelles
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La plate-forme {Broker Name} vous permet de choisir la fonctionnalité et les conditions de fonctionnement les plus appropriées pour vous
20,indexAdvantagesText.advantage6.title,Преимущество №6,Système d'analyse pratique
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Créer un plan pour d'autres actions en utilisant des instruments d'analyse graphique et technique
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Bénéfices supplémentaires
23,indexBenefitsText.benefit1.title,Преимущество №1,Commission-0%
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Aucune commission de retrait de fonds et d'ajout de fonds au dépôt vous permet de ne pas perdre les fonds gagnés
25,indexBenefitsText.benefit2.title,Преимущество №2,Gestion des risques
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"La gestion des risques garantit une sécurité maximale des transactions, car la fonctionnalité {Nom du courtier} permet de contrôler les risques pour chaque instrument commercial."
27,indexBenefitsText.benefit3.title,Преимущество №3,Diversification des investissements
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Gérez vos risques et créez une stratégie de rééquilibrage des investissements en utilisant des instruments de trading avancés
29,indexBenefitsText.benefit4.title,Преимущество №4,Large gamme de fonctionnalités
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Les meilleurs instruments de trading fournissent la prestation maximale des opérations sur les marchés financiers
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Commencer à négocier en quelques clics
32,indexStepsText.step1.title,Шаг №1,Inscrivez-vous sur la plate-forme
33,indexStepsText.step1.text|dot,Описание Шага №1,Remplissez vos informations personnelles dans votre profil
34,indexStepsText.step2.title,Шаг №2,Ouvrir un compte
