id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Empezar a ganar dinero hoy
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Registro rápido y fácil comienzo con una inversión mínima.
3,indexHeaderText.slide2.title,Заголовок №2,Elija su propia estrategia de desarrollo
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Ofrecemos una amplia gama de instrumentos para analizar el mercado y hacer pronósticos precisos.
5,indexHeaderText.slide3.title,Заголовок №3,Hacer transacciones seguras
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Garantizamos un alto nivel de seguridad combinado con la máxima velocidad de ejecución de pedidos.
7,indexHeaderText.slide4.title,Заголовок №4,Aumenta tus ingresos
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Llegar a la nueva independencia financiera basada en la experiencia de los profesionales.
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,¿Por qué {brokername}?
10,indexAdvantagesText.advantage1.title,Преимущество №1,Proceso de registro fácil
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,"El procedimiento tarda un par de minutos, después de lo cual puedes comenzar a trabajar inmediatamente."
12,indexAdvantagesText.advantage2.title,Преимущество №2,Muchos años de experiencia.
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Le informamos sobre los detalles específicos del mercado financiero y lo apoyamos en todos los problemas 24/7
14,indexAdvantagesText.advantage3.title,Преимущество №3,Altos estándares
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,"Las actividades de la compañía están reguladas por agregadores financieros internacionales como ASIC, SCB, DFSA y FCA"
16,indexAdvantagesText.advantage4.title,Преимущество №4,Ejecución instantánea de las operaciones.
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,El sistema {nombre de broker} garantiza la ejecución instantánea de las transacciones
18,indexAdvantagesText.advantage5.title,Преимущество №5,Condiciones de trabajo individuales
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,La plataforma {Broker Name} le permite elegir la funcionalidad y las condiciones de trabajo más adecuadas para usted
20,indexAdvantagesText.advantage6.title,Преимущество №6,Sistema de análisis conveniente
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Crear un plan para más acciones utilizando instrumentos de análisis gráficos y técnicos.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Beneficios adicionales
23,indexBenefitsText.benefit1.title,Преимущество №1,Comisión-0%
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Ninguna comisión para retirar fondos y agregar fondos al depósito le permite no perder los fondos ganados
25,indexBenefitsText.benefit2.title,Преимущество №2,Gestión de riesgos
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,"La gestión de riesgos garantiza la máxima seguridad de las transacciones, porque la funcionalidad {nombre del agente} hace posible controlar los riesgos para cada instrumento comercial"
27,indexBenefitsText.benefit3.title,Преимущество №3,Diversificación de inversiones
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Administre sus riesgos y construya una estrategia de reequilibrio de inversión utilizando instrumentos de negociación avanzados
29,indexBenefitsText.benefit4.title,Преимущество №4,Amplia gama de características
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Los mejores instrumentos de negociación proporcionan el máximo beneficio de las operaciones en los mercados financieros.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Comenzar a negociar en unos pocos clics
32,indexStepsText.step1.title,Шаг №1,Registrarse en la plataforma
33,indexStepsText.step1.text|dot,Описание Шага №1,Complete su información personal en su perfil
34,indexStepsText.step2.title,Шаг №2,Abrir una cuenta
